"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\01 Project Procurement","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\01 Project Procurement","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\01 Project Procurement","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\01 Project Procurement","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\01 Project Procurement","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\02 Estimating and Preconstruction","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\02 Estimating and Preconstruction","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\02 Estimating and Preconstruction","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\02 Estimating and Preconstruction","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\02 Estimating and Preconstruction","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\03 Project Set-up and Construction Admin","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\03 Project Set-up and Construction Admin","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\03 Project Set-up and Construction Admin","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\03 Project Set-up and Construction Admin","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\03 Project Set-up and Construction Admin","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\04 Project Administration","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\04 Project Administration","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\04 Project Administration","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\04 Project Administration","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\04 Project Administration","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\05 Quality Control","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\05 Quality Control","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\05 Quality Control","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\05 Quality Control","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\05 Quality Control","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\06 Document Control","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\06 Document Control","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\06 Document Control","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\06 Document Control","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\06 Document Control","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\07 Administrative and Project Records","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\07 Administrative and Project Records","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\07 Administrative and Project Records","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\0-Policies and Procedures Manual\Templates for Manual\07 Administrative and Project Records","BUILTIN\Administrators","Allow","FullControl","True"
