"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\1-CompanyInformation","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\1-CompanyInformation","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\1-CompanyInformation","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\1-CompanyInformation","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\1-CompanyInformation","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\2-OfficeTemplates","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\2-OfficeTemplates","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\2-OfficeTemplates","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\2-OfficeTemplates","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\2-OfficeTemplates","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\3-Personnel","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\3-Personnel","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\3-Personnel","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\3-Personnel","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\3-Personnel","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\11-TemplatesGeneralInfo\4-Projects","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
