"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2022","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2022","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2022","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2022","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2022","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-COPY ONLY - Sub-Contractor","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-COPY ONLY - Sub-Contractor","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-COPY ONLY - Sub-Contractor","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-COPY ONLY - Sub-Contractor","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-COPY ONLY - Sub-Contractor","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc COVID Emails","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc COVID Emails","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc COVID Emails","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc COVID Emails","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc COVID Emails","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc Flu Emails","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc Flu Emails","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc Flu Emails","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc Flu Emails","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\0-Misc Flu Emails","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\A to Z","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\A to Z","TONNANDBLANK\impactadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\A to Z","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\A to Z","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\A to Z","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\25-Sub-ContractorAcknowledments\2021\AA Huber & Sons, Inc","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
