"Path","Identity","AccessType","Rights","Inheritance"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","TONNANDBLANK\icmadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","TONNANDBLANK\SC","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","CREATOR OWNER","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Change Information Security.doc","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Change Information Security.doc","TONNANDBLANK\icmadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Change Information Security.doc","TONNANDBLANK\SC","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Change Information Security.doc","TONNANDBLANK\Domain Admins","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Change Information Security.doc","BUILTIN\Administrators","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Change Information Security.doc","NT AUTHORITY\SYSTEM","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Colleague_Confidentiality_Agreement.doc","TONNANDBLANK\AVD Test Users","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Colleague_Confidentiality_Agreement.doc","TONNANDBLANK\icmadmin","Allow","FullControl","True"
"Y:\ttbntfile1\shared\appsdata\groups\sc\Security\Colleague_Confidentiality_Agreement.doc","TONNANDBLANK\SC","Allow","FullControl","True"
